ID_Aluno,Idade,Tipo_escola,Escolaridade,Estado,Municipio,Trabalhando,Estudando,Concluiu_EAD,Aprender_EAD,Recursos,Disponibilidade_Tutoria,Disponibilidade_3_Meses,Pessoas_Casa,Renda_Familiar,Conheceu_PROA,Horario_Estudando,Data_Inscrição,Dias_Espera_Aprovacao,Dias_Espera_Inicio
2,21,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Não,Ainda não concluí um curso a distância,Eu prefiro cursos presenciais,Computador,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Junior Achievement,Manhã,15/09/2022,1.0,123
4,18,public,Ensino Médio concluído e não estudando,SP,Osasco,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Tablet próprio/Internet wifi/Internet 4G,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Noite,15/09/2022,3.0,123
5,19,public,Ensino Médio concluído e não estudando,RJ,Rio de Janeiro,Não,Não,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Não sei dizer,Computador/Celular próprio/Tablet próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Divulgação do iFood,Já concluí,15/09/2022,0.0,123
6,19,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Sim,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio,Sim,Sim,2,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Outros,Já concluí,15/09/2022,82.0,123
13,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,SIm e fiz totalmente pelo celular,Não sei dizer,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Noite,15/09/2022,0.0,123
14,17,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Noite,15/09/2022,0.0,123
15,22,public,Cursando o Ensino Superior,SP,Taboão da Serra,Não,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Tablet compartilhado/Internet wifi,Sim,Sim,4,Até 1 salário mínimo (até R$1.100),Google,Já concluí,15/09/2022,0.0,123
23,19,public,Ensino Médio concluído e não estudando,RJ,Rio de Janeiro,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,1,Até 1 salário mínimo (até R$1.100),Instagram,Noite,15/09/2022,0.0,123
26,17,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),LinkedIn,Manhã,15/09/2022,0.0,123
31,22,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Celular compartilhado com outro familiar/Internet wifi/Internet 4G,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Facebook,Já concluí,16/09/2022,7.0,122
40,22,public,Cursando o 3º ano do Ensino Médio,SP,Embu-Guaçu,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Facebook,Já concluí,16/09/2022,0.0,122
50,21,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,5,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Junior Achievement,Já concluí,16/09/2022,0.0,122
51,18,public,Cursando o 3º ano do Ensino Médio,SP,Guarulhos,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Junior Achievement,Noite,16/09/2022,4.0,122
52,21,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Já concluí,16/09/2022,0.0,122
54,17,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,1,Até 1 salário mínimo (até R$1.100),Cartaz ou folheto,Manhã,16/09/2022,6.0,122
56,19,public,Cursando o 3º ano do Ensino Médio,RJ,Duque de Caxias,Não,Sim,SIm e fiz totalmente pelo celular,Eu prefiro cursos presenciais,Celular próprio/Internet 4G,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),ETEC ou cursos do Centro Paula Souza,Noite,17/09/2022,2.0,121
61,17,public,Ensino Médio concluído e não estudando,RJ,Rio de Janeiro,Não,Sim,Ainda não concluí um curso a distância,Não sei dizer,Celular próprio/Internet 4G,Sim,Sim,4,Até 1 salário mínimo (até R$1.100),Indicação de familiar,Manhã,17/09/2022,5.0,121
65,21,public,Cursando o 3º ano do Ensino Médio,SP,Itapecerica da Serra,Não,Não,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),ETEC ou cursos do Centro Paula Souza,Manhã,17/09/2022,3.0,121
66,22,public,Cursando o 3º ano do Ensino Médio,SP,São José dos Campos,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Cartaz ou folheto,Já concluí,17/09/2022,0.0,121
72,20,public,Cursando o 3º ano do Ensino Médio,RJ,Itaboraí,Não,Sim,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),LinkedIn,Já concluí,19/09/2022,0.0,119
80,17,public,Cursando o 3º ano do Ensino Médio,RJ,Belford Roxo,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Tablet próprio/Internet wifi,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Divulgação do iFood,Manhã,19/09/2022,0.0,119
85,22,public,Ensino Médio concluído e não estudando,SP,São Paulo,Sim,Não,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,1,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),ETEC ou cursos do Centro Paula Souza,Já concluí,19/09/2022,0.0,119
90,21,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,6,Até 1 salário mínimo (até R$1.100),Instagram,Já concluí,20/09/2022,0.0,118
92,22,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Google,Já concluí,20/09/2022,0.0,118
94,19,public,Cursando o 3º ano do Ensino Médio,RJ,São João de Meriti,Não,Sim,Ainda não concluí um curso a distância,Não sei dizer,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Indicação de ex-aluno do PROA ou atual,Já concluí,20/09/2022,86.0,118
96,18,public,Cursando o Ensino Superior,SP,São Paulo,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Até 1 salário mínimo (até R$1.100),Indicação de familiar,Manhã,20/09/2022,0.0,118
105,19,public,Cursando o 3º ano do Ensino Médio,RJ,Itaocara,Sim,Não,SIm e fiz totalmente pelo celular,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Google,Já concluí,20/09/2022,1.0,118
106,20,public,Ensino Superior concluído,SP,Itapecerica da Serra,Não,Não,Sim e fiz totalmente pelo computador,Eu prefiro cursos presenciais,Computador,Sim,Sim,8,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Indicação de familiar,Já concluí,20/09/2022,0.0,118
111,23,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Programa de televisão,Já concluí,20/09/2022,0.0,118
113,20,public,Cursando o 3º ano do Ensino Médio,RJ,Campos dos Goytacazes,Não,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Tablet próprio/Internet wifi,Sim,Sim,4,Até 1 salário mínimo (até R$1.100),Junior Achievement,Já concluí,20/09/2022,0.0,118
116,20,public,Cursando o 3º ano do Ensino Médio,RJ,Duque de Caxias,Sim,Não,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),ETEC ou cursos do Centro Paula Souza,Já concluí,20/09/2022,0.0,118
126,17,public,Cursando o 3º ano do Ensino Médio,RJ,Nova Iguaçu,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Divulgação do iFood,Manhã,20/09/2022,0.0,118
130,18,public,Cursando o 3º ano do Ensino Médio,RJ,Queimados,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Junior Achievement,Manhã,20/09/2022,0.0,118
132,18,scholarship,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),ETEC ou cursos do Centro Paula Souza,Já concluí,20/09/2022,0.0,118
134,21,public,Cursando o 3º ano do Ensino Médio,RJ,Nova Iguaçu,Não,Sim,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Divulgação na escola,Já concluí,20/09/2022,0.0,118
135,17,public,Cursando o 3º ano do Ensino Médio,RJ,Macaé,Não,Sim,Ainda não concluí um curso a distância,Não sei dizer,Computador/Internet wifi,Sim,Sim,4,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),ETEC ou cursos do Centro Paula Souza,Manhã,20/09/2022,0.0,118
141,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,SIm e fiz totalmente pelo celular,Não sei dizer,Celular próprio,Sim,Sim,6,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Manhã,20/09/2022,0.0,118
146,18,public,Cursando o Ensino Superior,SC,São José,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 3 e 4 salários mínimos (R$3.300 – R$4.400),Cartaz ou folheto,Já concluí,20/09/2022,59.0,118
152,17,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Facebook,Manhã,20/09/2022,0.0,118
156,19,public,Cursando o 3º ano do Ensino Médio,SC,Águas Mornas,Não,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Instagram,Já concluí,20/09/2022,0.0,118
161,17,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Eu prefiro cursos presenciais,Celular próprio/Tablet compartilhado/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Manhã,20/09/2022,0.0,118
163,18,public,Cursando o 3º ano do Ensino Médio,RS,Gravataí,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,2,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Divulgação na escola,Manhã,20/09/2022,1.0,118
165,18,public,Cursando o 3º ano do Ensino Médio,SP,Mogi das Cruzes,Não,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),ETEC ou cursos do Centro Paula Souza,Já concluí,20/09/2022,1.0,118
166,19,public,Cursando o 3º ano do Ensino Médio,SP,Barueri,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Facebook,Já concluí,20/09/2022,0.0,118
171,22,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,6,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),ETEC ou cursos do Centro Paula Souza,Já concluí,20/09/2022,0.0,118
174,19,public,Cursando o 3º ano do Ensino Médio,SP,Jandira,Não,Não,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Não sei dizer,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Instagram,Já concluí,20/09/2022,0.0,118
180,19,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Não sei dizer,Computador/Celular próprio/Internet wifi,Sim,Sim,5,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),ETEC ou cursos do Centro Paula Souza,Já concluí,20/09/2022,0.0,118
181,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),ETEC ou cursos do Centro Paula Souza,Manhã,20/09/2022,0.0,118
182,19,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,SIm e fiz totalmente pelo celular,Eu prefiro cursos presenciais,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),LinkedIn,Já concluí,20/09/2022,66.0,118
184,19,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Celular próprio,Sim,Sim,4,Até 1 salário mínimo (até R$1.100),Indicação de familiar,Já concluí,20/09/2022,2.0,118
185,19,public,Cursando o 3º ano do Ensino Médio,SP,Embu das Artes,Não,Não,Nunca realizei um curso a distância,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,20/09/2022,0.0,118
186,19,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Sim,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Outros,Já concluí,20/09/2022,60.0,118
191,20,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,20/09/2022,1.0,118
195,19,public,Ensino Médio concluído e não estudando,SP,São Bernardo do Campo,Não,Não,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),ETEC ou cursos do Centro Paula Souza,Já concluí,20/09/2022,0.0,118
196,18,public,Ensino Médio concluído e não estudando,RJ,Rio de Janeiro,Não,Sim,Ainda não concluí um curso a distância,Não sei dizer,Computador/Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),ETEC ou cursos do Centro Paula Souza,Manhã,20/09/2022,0.0,118
204,19,public,Cursando o 3º ano do Ensino Médio,RJ,Niterói,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Computador/Celular próprio/Internet wifi,Sim,Sim,4,Até 1 salário mínimo (até R$1.100),Indicação de familiar,Já concluí,21/09/2022,7.0,117
210,20,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet 4G,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Divulgação na escola,Noite,21/09/2022,0.0,117
220,21,public,Cursando o 3º ano do Ensino Médio,RJ,Duque de Caxias,Sim,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Instagram,Já concluí,21/09/2022,0.0,117
221,18,public,Cursando o 3º ano do Ensino Médio,RJ,Paracambi,Não,Não,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Facebook,Já concluí,21/09/2022,77.0,117
230,17,public,Cursando o 3º ano do Ensino Médio,RJ,Rio das Ostras,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio,Sim,Sim,4,Até 1 salário mínimo (até R$1.100),Instagram,Manhã,21/09/2022,0.0,117
231,19,public,Cursando o 3º ano do Ensino Médio,SP,Guarulhos,Não,Não,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,5,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Site de notícias,Já concluí,21/09/2022,2.0,117
235,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Noite,21/09/2022,0.0,117
245,18,public,Cursando o 3º ano do Ensino Médio,RJ,Itaperuna,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Computador/Celular próprio/Celular compartilhado com outro familiar/Internet wifi,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Divulgação do iFood,Manhã,21/09/2022,1.0,117
260,17,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz totalmente pelo computador,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 4 e 5 salários mínimos (R$4.400 – R$5.500),Junior Achievement,Integral,21/09/2022,0.0,117
266,17,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Ainda não concluí um curso a distância,Não sei dizer,Computador/Celular próprio/Internet wifi,Sim,Sim,3,Entre 4 e 5 salários mínimos (R$4.400 – R$5.500),Junior Achievement,Noite,21/09/2022,0.0,117
272,19,public,Cursando o 3º ano do Ensino Médio,RJ,Nova Iguaçu,Sim,Não,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Outros,Já concluí,21/09/2022,1.0,117
273,16,public,Cursando o 3º ano do Ensino Médio,SP,Guarujá,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instituto Cyrela,Tarde,21/09/2022,0.0,117
276,20,public,Cursando o 3º ano do Ensino Médio,RJ,Duque de Caxias,Sim,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Google,Já concluí,21/09/2022,0.0,117
283,17,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,4,Até 1 salário mínimo (até R$1.100),Divulgação do iFood,Manhã,21/09/2022,0.0,117
286,18,public,Cursando o 3º ano do Ensino Médio,RJ,Sapucaia,Não,Sim,Ainda não concluí um curso a distância,Não sei dizer,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Divulgação na escola,Manhã,21/09/2022,7.0,117
290,18,public,Cursando o 3º ano do Ensino Médio,RJ,Magé,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Divulgação na escola,Manhã,21/09/2022,65.0,117
291,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Noite,21/09/2022,1.0,117
293,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Até 1 salário mínimo (até R$1.100),Divulgação do iFood,Integral,21/09/2022,0.0,117
295,17,public,Cursando o 3º ano do Ensino Médio,RJ,Sapucaia,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Divulgação do iFood,Manhã,21/09/2022,0.0,117
311,18,public,Cursando o 3º ano do Ensino Médio,RJ,Trajano de Moraes,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Celular próprio,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Divulgação do iFood,Integral,22/09/2022,0.0,116
321,17,public,Cursando o 3º ano do Ensino Médio,SC,Florianópolis,Não,Sim,Ainda não concluí um curso a distância,Não sei dizer,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Até 1 salário mínimo (até R$1.100),Outros,Tarde,22/09/2022,7.0,116
322,18,public,Cursando o 3º ano do Ensino Médio,RJ,Magé,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Manhã,22/09/2022,0.0,116
323,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Instagram,Noite,22/09/2022,41.0,116
326,18,public,Cursando o 3º ano do Ensino Médio,RJ,Cordeiro,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,4,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Divulgação na escola,Integral,22/09/2022,0.0,116
333,17,public,Cursando o 3º ano do Ensino Médio,RJ,Campos dos Goytacazes,Não,Sim,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Divulgação do iFood,Manhã,22/09/2022,0.0,116
335,19,public,Cursando o 3º ano do Ensino Médio,RJ,Mangaratiba,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,6,Até 1 salário mínimo (até R$1.100),Divulgação na escola,Noite,22/09/2022,0.0,116
336,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Indicação de familiar,Integral,22/09/2022,0.0,116
345,17,public,Cursando o 3º ano do Ensino Médio,RJ,Barra Mansa,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),ETEC ou cursos do Centro Paula Souza,Manhã,22/09/2022,0.0,116
