ID_Aluno,Idade,Tipo_escola,Escolaridade,Estado,Municipio,Trabalhando,Estudando,Concluiu_EAD,Aprender_EAD,Recursos,Disponibilidade_Tutoria,Disponibilidade_3_Meses,Pessoas_Casa,Renda_Familiar,Conheceu_PROA,Horario_Estudando,Data_Inscrição,Dias_Espera_Aprovacao,Dias_Espera_Inicio,Abandono_curso
1650,20,public,Cursando o 3º ano do Ensino Médio,SP,Ubatuba,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Instagram,Noite,08/10/2022,0.0,100,1
771,17,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Programa de televisão,Manhã,26/09/2022,6.0,112,0
503,22,public,Cursando o 3º ano do Ensino Médio,RJ,Queimados,Sim,Não,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Site de notícias,Já concluí,23/09/2022,0.0,115,1
1586,19,public,Cursando o 3º ano do Ensino Médio,SP,Mogi das Cruzes,Não,Não,Sim e fiz totalmente pelo computador,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,07/10/2022,0.0,101,1
2381,17,scholarship,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Facebook,Manhã,24/10/2022,6.0,84,1
865,17,public,Cursando o Ensino Superior,SP,São Paulo,Não,Sim,Ainda não concluí um curso a distância,Não sei dizer,Celular próprio/Celular compartilhado com outro familiar/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Integral,26/09/2022,0.0,112,0
133,22,public,Ensino Médio concluído e não estudando,SP,São Paulo,Não,Sim,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio,Sim,Sim,1,Até 1 salário mínimo (até R$1.100),Instituto Cyrela,Já concluí,20/09/2022,0.0,118,0
513,21,public,Cursando o 3º ano do Ensino Médio,SP,Lins,Não,Não,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Não sei dizer,Computador/Celular próprio/Internet 4G,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Facebook,Já concluí,24/09/2022,4.0,114,1
4814,18,public,Cursando o 3º ano do Ensino Médio,RS,Porto Alegre,Não,Não,Nunca realizei um curso a distância,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi,Sim,Sim,3,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Programa de televisão,Já concluí,12/12/2022,0.0,35,1
4753,20,public,Cursando o 3º ano do Ensino Médio,RS,Gravataí,Não,Não,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,6,Até 1 salário mínimo (até R$1.100),Google,Já concluí,11/12/2022,0.0,36,1
2224,17,public,Cursando o 3º ano do Ensino Médio,RS,Canoas,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio,Sim,Sim,6,Até 1 salário mínimo (até R$1.100),Facebook,Manhã,20/10/2022,3.0,88,1
5004,18,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Computador/Celular próprio/Celular compartilhado com outro familiar/Internet wifi/Internet 4G,Sim,Sim,4,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Programa de televisão,Manhã,14/12/2022,0.0,33,0
2474,22,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Não,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,25/10/2022,0.0,83,1
754,22,public,Cursando o 3º ano do Ensino Médio,SP,Carapicuíba,Não,Não,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular compartilhado com outro familiar,Não,Sim,3,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Programa de televisão,Já concluí,26/09/2022,0.0,112,1
1844,21,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi,Sim,Sim,2,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Facebook,Manhã,12/10/2022,0.0,96,1
3296,19,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Não,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Já concluí,10/11/2022,0.0,67,0
264,19,public,Cursando o 3º ano do Ensino Médio,SP,Santo André,Sim,Sim,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,5,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Instagram,Já concluí,21/09/2022,35.0,117,1
3042,17,public,Cursando o 3º ano do Ensino Médio,SP,Osasco,Não,Sim,SIm e fiz totalmente pelo celular,Eu prefiro cursos presenciais,Celular próprio,Sim,Sim,2,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Tarde,04/11/2022,0.0,73,1
2565,21,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Não,Nunca realizei um curso a distância,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Instagram,Já concluí,25/10/2022,0.0,83,0
5064,21,public,Cursando o 3º ano do Ensino Médio,SP,Guarujá,Não,Sim,Ainda não concluí um curso a distância,Não sei dizer,Computador/Celular próprio/Internet wifi,Sim,Sim,4,Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Instagram,Já concluí,15/12/2022,0.0,32,1
4046,18,public,Cursando o 3º ano do Ensino Médio,SC,Joinville,Não,Sim,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,5,Até 1 salário mínimo (até R$1.100),Instagram,Noite,27/11/2022,0.0,50,1
5304,17,public,Cursando o 3º ano do Ensino Médio,SC,Palhoça,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Até 1 salário mínimo (até R$1.100),Instagram,Manhã,17/12/2022,0.0,30,1
2231,18,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Celular compartilhado com outro familiar/Internet wifi,Sim,Sim,9,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Noite,20/10/2022,0.0,88,1
2703,20,public,Cursando o 3º ano do Ensino Médio,RJ,Duque de Caxias,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Facebook,Já concluí,27/10/2022,0.0,81,1
1720,22,public,Cursando o 3º ano do Ensino Médio,RJ,Itaguaí,Não,Não,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Eu prefiro cursos presenciais,Computador/Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Instagram,Já concluí,10/10/2022,15.0,98,1
3836,20,public,Cursando o 3º ano do Ensino Médio,SP,Osasco,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio,Sim,Sim,7,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Facebook,Já concluí,21/11/2022,0.0,56,1
465,18,public,Cursando o 3º ano do Ensino Médio,SP,Francisco Morato,Não,Não,Nunca realizei um curso a distância,Eu prefiro cursos presenciais,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Facebook,Já concluí,23/09/2022,0.0,115,1
593,18,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,2,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Facebook,Noite,26/09/2022,5.0,112,1
4173,17,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Manhã,29/11/2022,0.0,48,0
2612,19,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,26/10/2022,1.0,82,1
4600,19,public,Cursando o 3º ano do Ensino Médio,RS,Porto Alegre,Não,Não,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de familiar,Já concluí,08/12/2022,0.0,39,1
5131,17,public,Cursando o 3º ano do Ensino Médio,RS,Cachoeirinha,Não,Sim,SIm e fiz totalmente pelo celular,Eu prefiro cursos presenciais,Computador,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Programa de televisão,Tarde,15/12/2022,0.0,32,1
716,18,public,Cursando o 3º ano do Ensino Médio,SP,Diadema,Não,Sim,Nunca realizei um curso a distância,Não sei dizer,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 4 e 5 salários mínimos (R$4.400 – R$5.500),Indicação de familiar,Integral,26/09/2022,0.0,112,1
3875,17,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio,Sim,Sim,4,Até 1 salário mínimo (até R$1.100),Divulgação na escola,Manhã,22/11/2022,0.0,55,1
1260,19,public,Cursando o 3º ano do Ensino Médio,SP,Cotia,Não,Não,Nunca realizei um curso a distância,Não sei dizer,Computador/Celular próprio/Tablet próprio/Internet wifi,Sim,Sim,7,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de ex-aluno do PROA ou atual,Já concluí,30/09/2022,0.0,108,1
2633,19,public,Cursando o 3º ano do Ensino Médio,RJ,Itaguaí,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Junior Achievement,Integral,26/10/2022,9.0,82,0
3232,18,public,Cursando o 3º ano do Ensino Médio,SC,Itajaí,Não,Sim,Sim e fiz totalmente pelo computador,Não sei dizer,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Outros,Integral,09/11/2022,0.0,68,0
4772,19,public,Ensino Médio concluído e não estudando,RJ,Rio de Janeiro,Não,Não,Sim e fiz totalmente pelo computador,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi/Internet 4G,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,12/12/2022,0.0,35,0
462,22,public,Cursando o 3º ano do Ensino Médio,RJ,Japeri,Sim,Não,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,5,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de ex-aluno do PROA ou atual,Já concluí,23/09/2022,0.0,115,1
2364,17,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,3,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Manhã,24/10/2022,0.0,84,1
4255,22,public,Cursando o 3º ano do Ensino Médio,RJ,Nova Iguaçu,Não,Sim,Ainda não concluí um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Computador/Celular próprio/Internet wifi,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Indicação de ex-aluno do PROA ou atual,Integral,01/12/2022,9.0,46,1
2575,17,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Sim,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio,Sim,Sim,2,Até 1 salário mínimo (até R$1.100),Divulgação na escola,Tarde,25/10/2022,0.0,83,1
3543,17,public,Cursando o 3º ano do Ensino Médio,SP,Mococa,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi/Internet 4G,Sim,Sim,4,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Divulgação na escola,Integral,17/11/2022,0.0,60,0
256,21,public,Cursando o 3º ano do Ensino Médio,RJ,Rio de Janeiro,Não,Não,SIm e fiz totalmente pelo celular,Eu prefiro cursos presenciais,Celular próprio,Sim,Sim,1,Até 1 salário mínimo (até R$1.100),Programa de televisão,Já concluí,21/09/2022,0.0,117,1
1566,19,public,Cursando o 3º ano do Ensino Médio,RJ,Nova Iguaçu,Não,Não,SIm e fiz totalmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,1,Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Instagram,Já concluí,07/10/2022,62.0,101,1
3054,17,public,Cursando o 3º ano do Ensino Médio,SP,Santo André,Não,Sim,Sim e fiz parcialmente pelo computador e parcialmente pelo celular,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,4,Até 1 salário mínimo (até R$1.100),Outros,Manhã,04/11/2022,0.0,73,1
1546,17,public,Cursando o 3º ano do Ensino Médio,SP,São Paulo,Não,Sim,Nunca realizei um curso a distância,Muito eu tenho uma rotina definida para participar de cursos a distância,Celular próprio/Internet wifi,Sim,Sim,3,Até 1 salário mínimo (até R$1.100),Site de notícias,Noite,06/10/2022,0.0,102,1
